 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 4:07:08.895 04:07:31.753   22.858           Land
 4:07:08.962 04:07:48.192   39.229           Land
 4:07:09.299 04:07:31.638   22.339           Land
 4:07:10.044 04:07:32.323   22.279           Land
 4:07:11.251 04:07:35.014   23.762           Land
 4:07:12.685 04:07:39.929   27.244           Land
 4:07:14.808 04:07:38.449   23.641           Land
 4:07:16.415 04:07:44.769   28.355           Land
 4:07:22.314 04:14:31.452  429.138           Land
 4:07:24.906 04:07:48.239   23.333           Land
 4:07:26.310 04:07:48.978   22.668           Land
 4:07:27.394 04:07:49.056   21.661           Land
 4:07:28.899 04:07:50.879    21.98           Land
 4:07:29.020 04:07:52.320     23.3           Land
 4:07:53.840  4:13:58.414  364.574 Process_images
 4:13:59.934 04:16:44.120  164.186           Land
 4:16:18.435 04:20:49.947  271.512           Land
 4:20:05.070 04:21:47.369  102.299           Land
 4:20:16.481 04:24:12.059  235.578           Land
 4:22:48.561 04:23:10.546   21.985           Land
 4:22:52.408 04:23:17.616   25.207           Land
 4:22:54.922 04:23:23.927   29.004           Land
 4:23:03.552 04:23:27.711   24.159           Land
 4:23:44.178 04:24:11.552   27.374           Land
 4:24:31.759 04:25:03.958   32.199           Land
 4:24:42.783 04:25:13.744   30.962           Land
 4:24:52.722 04:25:17.569   24.847           Land
 4:24:54.367 04:25:27.110   32.743           Land
 4:25:06.316 04:25:29.584   23.268           Land
 4:25:16.636 04:25:43.670   27.034           Land
 4:25:42.705 04:26:05.629   22.924           Land
 4:25:57.684 04:26:21.140   23.456           Land
 4:26:01.418 04:26:24.470   23.051           Land
 4:26:25.990  4:43:23.766 1017.776 Process_images
 4:43:25.286 04:43:49.751   24.465           Land
 4:43:51.271  4:47:33.611   222.34 Process_images
 4:47:35.131 04:55:28.675  473.544           Land
 4:55:10.900 04:55:45.220    34.32           Land
 4:55:12.193 04:56:07.794   55.601           Land
 4:56:55.258 04:58:48.463  113.205           Land
 4:57:52.288 04:59:13.483   81.195           Land
 4:57:52.498 04:58:15.189   22.691           Land
 4:58:27.363 04:58:55.593    28.23           Land
 4:58:41.420 04:59:09.846   28.426           Land
 4:58:41.441 04:59:07.877   26.436           Land
 4:59:09.397  5:08:09.568  540.171 Process_images
 5:08:11.088 05:41:52.941 2021.853 Penumbra Shade
 5:24:12.424 05:24:48.181   35.757           Land
 5:24:44.661 05:25:06.992   22.332           Land
 5:24:46.443 05:25:10.618   24.174           Land
 5:25:05.702 05:28:00.321  174.619           Land
 5:27:30.731 05:33:02.111  331.379           Land
 5:32:30.784 05:47:21.867  891.082     PrudhoeBay
 5:32:30.873 05:39:08.668  397.795           Land
 5:38:41.712 05:39:11.513   29.801           Land
 5:38:47.959 05:39:10.519    22.56           Land
 5:40:10.221 05:51:55.801   705.58       Svalbard
 5:46:33.147 05:46:55.515   22.367           Land
 5:46:40.801 05:47:04.082   23.281           Land
 5:46:41.127 05:47:03.283   22.156           Land
 5:46:42.649 05:54:59.443  496.794           Land
 5:46:43.499 05:47:06.298   22.799           Land
 5:46:43.519 05:47:06.835   23.316           Land
 5:47:08.355  5:54:06.087  417.732 Process_images
 5:54:07.607 05:57:19.307    191.7           Land
 5:56:51.071 05:58:20.431   89.359           Land
 5:57:22.811 05:58:58.292   95.481           Land
 5:57:57.514 05:59:00.674    63.16           Land
 5:58:28.807 05:59:04.358   35.551           Land
 5:58:34.006 06:02:36.978  242.972           Land
 5:59:11.953 06:00:05.315   53.362           Land
 6:00:21.684 06:03:30.902  189.218           Land
 6:03:32.422  6:22:08.581 1116.159 Process_images
 6:22:10.101 06:22:32.817   22.717           Land
 6:22:10.635 06:22:33.868   23.233           Land
 6:22:35.388  6:28:25.681  350.293 Process_images
 6:28:27.201 06:35:26.744  419.543           Land
 6:34:49.874 06:35:38.587   48.712           Land
 6:35:30.751 06:36:12.512   41.762           Land
 6:36:04.148 06:36:33.677   29.529           Land
 6:36:14.661 06:38:57.001   162.34           Land
 6:38:15.189 06:38:40.172   24.984           Land
 6:38:17.948 06:38:48.297   30.349           Land
 6:38:27.564 06:38:51.212   23.649           Land
 6:38:30.319 06:38:53.073   22.754           Land
 6:38:34.147 06:38:57.942   23.795           Land
 6:38:38.677 06:39:18.310   39.633           Land
 6:38:40.137 06:39:02.941   22.804           Land
 6:39:04.461  6:48:51.644  587.183 Process_images
 6:48:53.164 07:22:34.953  2021.79 Penumbra Shade
 7:11:53.672 07:26:59.668  905.997     PrudhoeBay
 7:16:20.924 07:16:44.266   23.341           Land
 7:16:22.313 07:20:10.166  227.852           Land
 7:16:28.369 07:16:56.906   28.537           Land
 7:16:30.098 07:16:52.707   22.608           Land
 7:16:31.517 07:16:54.043   22.526           Land
 7:16:32.511 07:16:57.220    24.71           Land
 7:16:32.528 07:16:55.473   22.944           Land
 7:16:33.195 07:16:56.354   23.159           Land
 7:16:34.283 07:17:00.432   26.149           Land
 7:16:35.062 07:16:57.437   22.376           Land
 7:16:36.877 07:16:59.230   22.353           Land
 7:16:42.772 07:17:05.615   22.842           Land
 7:16:44.790 07:17:07.934   23.144           Land
 7:17:09.454  7:21:05.036  235.582 Process_images
