547 65061869 65136174   74305 2
548 65136174 65230271   94097 2
549 65230271 65296690   66419 2
550 65296690 65374355   77665 2
551 65374355 65608534  234179 4
552 65608534 65608535       1 2
553 65610055 65769591  159536 2
554 65771111 65786988   15877 2
555 65786988 65823056   36068 2
556 65823056 65829276    6220 2
557 65829276 65829277       1 2
558 65829277 65829277       0 1
559 65829277 65829277       0 1
560 65829277 65841323   12046 1
561 65841323 65842746    1423 1
562 65842746 65865103   22357 1
563 65865103 65865748     645 1
564 65910296 65949635   39339 4
565 65949635 65949635       0 1
566 65949635 65949635       0 1
567 65949635 65949635       0 1
568 65949635 65949635       0 1
569 65949635 65949635       0 1
570 65949635 65955278    5643 1
571 65986825 66003518   16693 1
572 66003518 66027149   23631 1
573 66048214 66070042   21828 1
574 66070042 66086492   16450 1
575 66086492 66086492       0 1
576 66086492 66095129    8637 1
577 66095129 66095129       0 1
578 66095129 66104969    9840 1
579 66104969 66127674   22705 1
580 66130250 66137488    7238 1
581 66137488 66159458   21970 1
582 66159458 66168933    9475 1
583 66168933 66185287   16354 1
584 66185287 66207695   22408 1
585 66207695 66222234   14539 1
586 66222234 66222235       1 1
587 66226155 66230096    3941 1
588 66230096 66241236   11140 1
589 66241236 66263515   22279 1
590 66263515 66263568      53 1
591 66263568 66265701    2133 1
592 66265701 66265701       0 1
593 66265701 66290978   25277 1
594 66290978 66290979       1 1
595 66297672 66299633    1961 1
596 66299633 66321651   22018 1
597 66323171 66620080  296909 2
598 66621600 66932183  310583 1
599 66932183 66970460   38277 1
600 66970460 66994590   24130 1
601 66996110 67865030  868920 2
602 67866550 67882864   16314 1
603 67882864 67904165   21301 1
604 67905685 68907968 1002283 2
605 68909488 69270576  361088 1
606 69270576 69298289   27713 1
607 69299810 69817470  517660 2
608 70093066 70273034  179968 2
609 70285713 70306867   21154 2
610 70322800 70344991   22191 2
611 70346511 70479926  133415 2
612 70481446 70548632   67186 2
613 70548632 70574511   25879 2
614 70574511 70681506  106995 2
615 70681506 70681507       1 2
616 70681507 70690200    8693 2
617 70690200 70745697   55497 2
618 70745697 70772444   26747 2
619 70787253 70815052   27799 2
620 70815052 70849927   34875 2
621 70849927 71043755  193828 4
622 71043755 71043755       0 2
623 71043755 71043755       0 2
624 71043755 71043755       0 2
625 71043755 71043755       0 2
626 71043755 71043755       0 2
627 71043755 71043755       0 2
628 71043755 71088155   44400 2
629 71088155 71088155       0 2
630 71088155 71214530  126375 2
631 71230737 71272632   41895 2
632 71272632 71325562   52930 2
633 71350190 71367398   17208 2
634 71367398 71468710  101312 4
635 71468710 71468710       0 2
636 71468710 71468710       0 2
637 71468710 71468710       0 2
638 71468710 71508615   39905 2
639 71508615 71508615       0 2
640 71508615 71508616       1 2
641 71508616 71514426    5810 2
642 71514426 71514426       0 2
643 71514426 71527938   13512 2
644 71527938 71527938       0 2
645 71527938 71527938       0 2
646 71527938 71527938       0 2
647 71527938 71527938       0 2
648 71527938 71537226    9288 2
649 71537226 71540501    3275 2
650 71563009 71586414   23405 2
651 71586414 71591630    5216 2
652 71591630 71651359   59729 2
653 71651359 71651359       0 2
654 71651359 71658551    7192 2
655 71658551 71658551       0 2
656 71658551 71658551       0 2
657 71658551 71658551       0 2
658 71658551 71658551       0 2
659 71658551 71658783     232 2
660 71658783 71664007    5224 2
661 71664007 71664007       0 2
662 71664007 71664007       0 2
663 71664007 71664007       0 2
664 71664007 71664007       0 2
665 71664007 71664007       0 2
666 71664007 71664007       0 2
667 71664007 71691993   27986 2
668 71691993 71691994       1 2
669 71691994 71694056    2062 2
670 71694056 71694056       0 2
671 71694056 71694057       1 2
672 71695577 71883700  188123 2
673 71885220 71892870    7650 1
674 71892870 71892870       0 1
675 71892870 71892870       0 1
676 71892870 71892870       0 1
677 71892870 71892870       0 1
678 71892870 71892870       0 1
679 71892870 71905862   12992 1
680 71905862 71905863       1 1
681 71905863 71909083    3220 1
682 71909083 72002321   93238 4
683 72002321 72002321       0 1
684 72002321 72004617    2296 1
685 72004617 72010531    5914 1
686 72010531 72010531       0 1
687 72010531 72024889   14358 1
688 72024889 72029286    4397 1
689 72029286 72051075   21789 1
690 72083488 72115506   32018 1
691 72115506 72115507       1 1
692 72115507 72115507       0 1
693 72115507 72118298    2791 1
694 72118298 72136194   17896 1
695 72136194 72136194       0 1
696 72136194 72136194       0 1
697 72136194 72136194       0 1
698 72136194 72136194       0 1
699 72136194 72136194       0 1
700 72136194 72162105   25911 1
701 72162105 72162105       0 1
702 72162105 72162105       0 1
703 72162105 72165178    3073 1
704 72165178 72165178       0 1
705 72165178 72166311    1133 1
706 72166311 72166311       0 1
707 72166311 72166311       0 1
708 72166311 72166311       0 1
709 72166311 72166311       0 1
710 72166311 72166311       0 1
711 72166311 72169732    3421 1
712 72169732 72169732       0 1
713 72169732 72169732       0 1
714 72169732 72173273    3541 1
715 72173273 72195915   22642 1
716 72195915 72208227   12312 1
717 72208227 72208228       1 1
718 72214451 72218902    4451 1
719 72218902 72281052   62150 1
720 72281052 72281052       0 1
721 72281052 72303260   22208 1
722 72303260 72304798    1538 1
723 72305871 72545430  239559 1
724 72545430 72545430       0 1
725 72545430 72545430       0 1
726 72545430 72545430       0 1
727 72545430 72545430       0 1
728 72545430 72545430       0 1
729 72545430 72545430       0 1
730 72545430 72545430       0 1
731 72545430 72546675    1245 1
732 72546675 72574447   27772 1
733 72574447 72574447       0 1
734 72574447 72574447       0 1
735 72574447 72576960    2513 1
736 72576960 72576960       0 1
737 72576960 72580867    3907 1
738 72580867 72580867       0 1
739 72580867 72580867       0 1
740 72580867 72580867       0 1
741 72580867 72581593     726 1
742 72581593 72581593       0 1
743 72581593 72581593       0 1
744 72581593 72581593       0 1
745 72581593 72581593       0 1
746 72581593 72585626    4033 1
747 72585626 72585626       0 1
748 72585626 72585626       0 1
749 72585626 72585626       0 1
750 72585626 72590369    4743 1
751 72590369 72598723    8354 1
752 72598723 72598723       0 1
753 72598723 72622275   23552 1
754 72623795 73778168 1154373 2
755 73779688 73803179   23491 1
756 73804699 74785299  980600 2
757 74786819 74810856   24037 1
758 74826160 74833481    7321 1
759 74833481 74852588   19107 1
760 74852588 74852588       0 1
761 74852588 74878439   25851 1
762 74878439 74880839    2400 1
763 74882359 75354046  471687 2
764 75355566 75379693   24127 1
765 75381213 75859614  478401 2
766 75951928 76012108   60180 2
767 76012108 76012109       1 2
768 76012109 76041938   29829 2
769 76088115 76211170  123055 2
770 76211170 76224318   13148 2
771 76224318 76325445  101127 2
772 76325445 76325446       1 2
773 76332749 76609344  276595 2
774 76609344 76609345       1 2
775 76609345 76652826   43481 2
776 76652826 76667467   14641 2
777 76667467 76680445   12978 2
778 76695110 76757485   62375 2
779 76757485 76757486       1 2
780 76762410 76945975  183565 4
781 76945975 76945975       0 2
782 76945975 76959971   13996 4
783 76959971 76959971       0 2
784 76959971 76959972       1 2
785 77042640 77092777   50137 2
786 77092777 77117913   25136 2
787 77117913 77131922   14009 2
788 77132198 77174057   41859 2
789 77182972 77241485   58513 2
790 77241485 77269718   28233 2
791 77269718 77269718       0 2
792 77269718 77286664   16946 2
793 77286664 77299823   13159 2
794 77299823 77348571   48748 2
795 77348571 77394135   45564 2
796 77394135 77394135       0 2
797 77394135 77394135       0 2
798 77394135 77406436   12301 2
799 77406436 77406436       0 2
800 77406436 77434269   27833 4
801 77434269 77434269       0 2
802 77434269 77434269       0 2
803 77434269 77434269       0 2
804 77434269 77445513   11244 2
805 77445513 77448214    2701 2
806 77539568 77558273   18705 2
807 77558273 77558273       0 2
808 77558273 77558273       0 2
809 77558273 77581956   23683 2
810 77583476 77734085  150609 2
811 77735605 77760225   24620 2
812 77802669 77811562    8893 2
813 77811562 77836289   24727 2
814 77836289 77836289       0 2
815 77836289 77836289       0 2
816 77836289 77836289       0 2
817 77836289 77845248    8959 2
818 77845248 77846564    1316 2
819 77846564 77846564       0 2
820 77846564 77846564       0 2
821 77846564 77846564       0 2
822 77846564 77846564       0 2
823 77846564 77846564       0 2
824 77846564 77846564       0 2
825 77846564 77846659      95 2
826 77846659 77869489   22830 2
827 77900086 77999811   99725 4
